NodeId,PageRank,NeighborId,CommunityId
"""anus""",3.0442500000000003,"""large intestine""",0
"""distal anal canal""",0.49739439066914554,"""large intestine""",0
"""proximal anal canal""",0.49739439066914554,"""large intestine""",0
"""transitional anal canal""",0.49739439066914554,"""large intestine""",0
"""ileocecal valve""",0.31675429146066847,"""large intestine""",0
"""rectum""",0.31675429146066847,"""large intestine""",0
"""cecum""",0.31675429146066847,"""large intestine""",0
"""appendix""",0.31675429146066847,"""large intestine""",0
"""ascending colon""",0.3940269974161506,"""large intestine""",0
"""transverse colon""",0.3940269974161506,"""large intestine""",0
"""descending colon""",0.3940269974161506,"""large intestine""",0
"""sigmoid colon""",0.3940269974161506,"""large intestine""",0
"""splenic flexure""",0.3940269974161506,"""large intestine""",0
"""hepatic flexure""",0.3940269974161506,"""large intestine""",0
"""dermis""",1.74375,"""anus""",0
"""subcutaneous""",0.7237500000000001,"""anus""",0
"""epidermis""",0.46875000000000006,"""anus""",0
"""skin""",0.46875000000000006,"""anus""",0
"""lymphocyte""",0.33490920167426974,"""epithelium""",0
"""lymphocyte""",0.33490920167426974,"""lymphcyte""",0
"""lymphocyte""",0.33490920167426974,"""mucosa""",0
"""lymphocyte""",0.33490920167426974,"""lymphocyte""",0
"""lymphocyte""",0.33490920167426974,"""transitional anal canal""",0
"""lymphocyte""",0.33490920167426974,"""proximal anal canal""",0
"""lymphocyte""",0.33490920167426974,"""distal anal canal""",0
"""mucosa""",0.6206320895971722,"""mucosa""",0
"""mucosa""",0.6206320895971722,"""descending colon""",0
"""mucosa""",0.6206320895971722,"""rectum""",0
"""mucosa""",0.6206320895971722,"""lymphcyte""",0
"""mucosa""",0.6206320895971722,"""transverse colon""",0
"""mucosa""",0.6206320895971722,"""sigmoid colon""",0
"""mucosa""",0.6206320895971722,"""epithelium""",0
"""mucosa""",0.6206320895971722,"""ascending colon""",0
"""mucosa""",0.6206320895971722,"""splenic flexure""",0
"""mucosa""",0.6206320895971722,"""ileocecal valve""",0
"""mucosa""",0.6206320895971722,"""cecum""",0
"""mucosa""",0.6206320895971722,"""lymphocyte""",0
"""mucosa""",0.6206320895971722,"""hepatic flexure""",0
"""mucosa""",0.6206320895971722,"""appendix""",0
"""mucosa""",0.6206320895971722,"""transitional anal canal""",0
"""mucosa""",0.6206320895971722,"""proximal anal canal""",0
"""mucosa""",0.6206320895971722,"""distal anal canal""",0
"""epithelium""",0.33490920167426974,"""lymphcyte""",0
"""epithelium""",0.33490920167426974,"""mucosa""",0
"""epithelium""",0.33490920167426974,"""epithelium""",0
"""epithelium""",0.33490920167426974,"""transitional anal canal""",0
"""epithelium""",0.33490920167426974,"""lymphocyte""",0
"""epithelium""",0.33490920167426974,"""proximal anal canal""",0
"""epithelium""",0.33490920167426974,"""distal anal canal""",0
"""lymphcyte""",0.33490920167426974,"""mucosa""",0
"""lymphcyte""",0.33490920167426974,"""epithelium""",0
"""lymphcyte""",0.33490920167426974,"""lymphocyte""",0
"""lymphcyte""",0.33490920167426974,"""proximal anal canal""",0
"""lymphcyte""",0.33490920167426974,"""transitional anal canal""",0
"""lymphcyte""",0.33490920167426974,"""lymphcyte""",0
"""lymphcyte""",0.33490920167426974,"""distal anal canal""",0
"""submucosa""",0.9741444841856775,"""appendix""",0
"""submucosa""",0.9741444841856775,"""ileocecal valve""",0
"""submucosa""",0.9741444841856775,"""descending colon""",0
"""submucosa""",0.9741444841856775,"""proximal anal canal""",0
"""submucosa""",0.9741444841856775,"""cecum""",0
"""submucosa""",0.9741444841856775,"""rectum""",0
"""submucosa""",0.9741444841856775,"""hepatic flexure""",0
"""submucosa""",0.9741444841856775,"""splenic flexure""",0
"""submucosa""",0.9741444841856775,"""transverse colon""",0
"""submucosa""",0.9741444841856775,"""submucosa""",0
"""submucosa""",0.9741444841856775,"""ascending colon""",0
"""submucosa""",0.9741444841856775,"""transitional anal canal""",0
"""submucosa""",0.9741444841856775,"""sigmoid colon""",0
"""submucosa""",0.9741444841856775,"""distal anal canal""",0
"""adventitia""",0.1904761828766213,"""adventitia""",0
"""adventitia""",0.1904761828766213,"""transitional anal canal""",0
"""adventitia""",0.1904761828766213,"""proximal anal canal""",0
"""adventitia""",0.1904761828766213,"""distal anal canal""",0
"""lamina propria""",0.18072288792290261,"""proximal anal canal""",0
"""lamina propria""",0.18072288792290261,"""lamina propria""",0
"""lamina propria""",0.18072288792290261,"""transitional anal canal""",0
"""lamina propria""",0.18072288792290261,"""mucosa""",0
"""lamina propria""",0.18072288792290261,"""distal anal canal""",0
"""muscularis mucosa""",0.15969581700483723,"""appendix""",0
"""muscularis mucosa""",0.15969581700483723,"""ileocecal valve""",0
"""muscularis mucosa""",0.15969581700483723,"""cecum""",0
"""muscularis mucosa""",0.15969581700483723,"""muscularis mucosa""",0
"""muscularis mucosa""",0.15969581700483723,"""transitional anal canal""",0
"""muscularis mucosa""",0.15969581700483723,"""transverse colon""",0
"""muscularis mucosa""",0.15969581700483723,"""sigmoid colon""",0
"""muscularis mucosa""",0.15969581700483723,"""rectum""",0
"""muscularis mucosa""",0.15969581700483723,"""descending colon""",0
"""muscularis mucosa""",0.15969581700483723,"""splenic flexure""",0
"""muscularis mucosa""",0.15969581700483723,"""proximal anal canal""",0
"""muscularis mucosa""",0.15969581700483723,"""ascending colon""",0
"""muscularis mucosa""",0.15969581700483723,"""hepatic flexure""",0
"""muscularis mucosa""",0.15969581700483723,"""distal anal canal""",0
"""subserosa""",0.15969581700483723,"""sigmoid colon""",0
"""subserosa""",0.15969581700483723,"""descending colon""",0
"""subserosa""",0.15969581700483723,"""ileocecal valve""",0
"""subserosa""",0.15969581700483723,"""hepatic flexure""",0
"""subserosa""",0.15969581700483723,"""cecum""",0
"""subserosa""",0.15969581700483723,"""rectum""",0
"""subserosa""",0.15969581700483723,"""proximal anal canal""",0
"""subserosa""",0.15969581700483723,"""transverse colon""",0
"""subserosa""",0.15969581700483723,"""splenic flexure""",0
"""subserosa""",0.15969581700483723,"""appendix""",0
"""subserosa""",0.15969581700483723,"""transitional anal canal""",0
"""subserosa""",0.15969581700483723,"""subserosa""",0
"""subserosa""",0.15969581700483723,"""ascending colon""",0
